any,sup_total_ha
2008,58520.0
2009,55341.0
2010,53333.0
2011,53311.0
2012,52780.0
2013,52653.200000000004
2014,52485.0
2015,52228.0
2016,52538.0
2017,52901.0
2018,53169.0
2019,53681.0
2020,54095.0
2021,53939.0
2022,54192.0
2023,53977.0
2024,54023.0
